ID,Grupo,N_nós,Taxa_escala_global,suscetiveis_mean,suscetiveis_median,suscetiveis_iqr,infeccaos_mean,infeccaos_median,infeccaos_iqr,recuperados_mean,recuperados_median,recuperados_iqr,Prev_Minimo_Valor,Prev_Tempo_Minimo,Prev_Maximo_Valor,Prev_Tempo_Maximo,Prev_Final_Valor,Taxa_escala_local,Categoria
s48_g6ab,G6,0.5,0.8,0.964005067526367,1,0,0.01760578,0.008328706,0.03053859,0.01838915,0.0,0.0129199,0.0,532,54.7803617571059,3,0.0,0,frigorifico
s1_g1co,G1,100.0,0.01,0.994140536898943,1,0,0.00280674,0.0,0.0,0.003052723,0.0,0.0,0.0,141,7.0718877849211,40,0.0,0,comercial
s2_g1co,G1,100.0,0.034,0.99161969566229,1,0,0.003797488,0.0,0.0,0.004582817,0.0,0.0,0.0,156,9.40970192869667,24,0.0,0,comercial
s3_g1co,G1,100.0,0.05,0.992390745968455,1,0,0.003602129,0.0,0.0,0.004007125,0.0,0.0,0.0,132,10.2863822326125,22,0.0,0,comercial
s4_g1co,G1,100.0,0.1,0.984688031293738,1,0,0.007292526,0.0,0.006662965,0.008019442,0.0,0.0,0.0,188,20.5143191116306,24,0.0,0,comercial
s5_g1co,G1,100.0,0.15,0.988991764105337,1,0,0.005201344,0.0,0.0,0.005806891,0.0,0.0,0.0,140,16.8907071887785,21,0.0,0,comercial
s6_g1co,G1,100.0,0.35,0.986295684162737,1,0,0.006178462,0.0,0.0,0.007525853,0.0,0.0,0.0,161,21.5663354763296,12,0.0,0,comercial
s7_g1co,G1,100.0,0.5,0.988868447978929,1,0,0.005089711,0.0,0.0,0.006041841,0.0,0.0,0.0,246,17.2998246639392,12,0.0,0,comercial
s8_g1co,G1,100.0,0.8,0.985534044824114,1,0,0.00657275,0.0,0.0,0.007893206,0.0,0.0,0.0,169,23.9625949736996,5,0.0,0,comercial
s9_g2co,G2,0.05,0.01,0.994511783342652,1,0,0.002645455,0.0,0.0,0.002842761,0.0,0.0,0.0,134,6.48743424897721,31,0.0,0,comercial
s10_g2co,G2,0.05,0.034,0.986745463508,1,0,0.006092141,0.0,0.0,0.007162395,0.0,0.0,0.0,183,16.7738164815897,30,0.0,0,comercial
s11_g2co,G2,0.05,0.05,0.99288822918367,1,0,0.003543392,0.0,0.0,0.003568379,0.0,0.0,0.0,154,8.24079485680888,40,0.0,0,comercial
s12_g2co,G2,0.05,0.1,0.992451430483292,1,0,0.003638475,0.0,0.0,0.003910095,0.0,0.0,0.0,151,10.8708357685564,29,0.0,0,comercial
s13_g2co,G2,0.05,0.15,0.985614200306278,1,0,0.006744094,0.0,0.0,0.007641706,0.0,0.0,0.0,204,20.1052016364699,17,0.0,0,comercial
s14_g2co,G2,0.05,0.35,0.989096582812782,1,0,0.005149422,0.0,0.0,0.005753995,0.0,0.0,0.0,156,16.4231443600234,9,0.0,0,comercial
s15_g2co,G2,0.05,0.5,0.991827710496571,1,0,0.003915287,0.0,0.0,0.004257002,0.0,0.0,0.0,153,13.6177673874927,9,0.0,0,comercial
s16_g2co,G2,0.05,0.8,0.989771251830677,1,0,0.004905061,0.0,0.0,0.005323687,0.0,0.0,0.0,142,17.7089421390999,5,0.0,0,comercial
s17_g3co,G3,0.1,0.01,0.991374685990088,1,0,0.004080141,0.0,0.0,0.004545173,0.0,0.0,0.0,145,10.8708357685564,20,0.0,0,comercial
s18_g3co,G3,0.1,0.034,0.980720821700783,1,0,0.009015058,0.0,0.01721266,0.01026412,0.0,0.0,0.0,150,23.9041496201052,25,0.0,0,comercial
s19_g3co,G3,0.1,0.05,0.984603657101987,1,0,0.007398968,0.0,0.007773459,0.007997375,0.0,0.0,0.0,173,18.0011689070719,38,0.0,0,comercial
s20_g3co,G3,0.1,0.1,0.982906437783283,1,0,0.007806884,0.0,0.01110494,0.009286678,0.0,0.0,0.0,176,24.9561659848042,18,0.0,0,comercial
s21_g3co,G3,0.1,0.15,0.97937083463275,1,0,0.009763717,0.0,0.01804553,0.01086545,0.0,0.0,0.0,151,30.9760374050263,17,0.0,0,comercial
s22_g3co,G3,0.1,0.35,0.985773537722241,1,0,0.006565286,0.0,0.0,0.007661177,0.0,0.0,0.0,148,23.1443600233781,9,0.0,0,comercial
s23_g3co,G3,0.1,0.5,0.981371801041762,1,0,0.008753822,0.0,0.01332593,0.009874377,0.0,0.0,0.0,197,29.6902396259497,6,0.0,0,comercial
s24_g3co,G3,0.1,0.8,0.980263578484711,1,0,0.009352555,0.0,0.01721266,0.01038387,0.0,0.0,0.0,149,33.6645236703682,7,0.0,0,comercial
s25_g4co,G4,0.15,0.01,0.985284491926201,1,0,0.006812891,0.0,0.005552471,0.007902617,0.0,0.0,0.0,150,17.3582700175336,29,0.0,0,comercial
s26_g4co,G4,0.15,0.034,0.982351515214452,1,0,0.008478308,0.0,0.01499167,0.009170177,0.0,0.0,0.0,202,24.2548217416715,24,0.0,0,comercial
s27_g4co,G4,0.15,0.05,0.981241345560668,1,0,0.008912511,0.0,0.01610217,0.009846144,0.0,0.0,0.0,149,26.125073056692,24,0.0,0,comercial
s28_g4co,G4,0.15,0.1,0.981141070078931,1,0,0.008758366,0.0,0.01499167,0.01010056,0.0,0.0,0.0,178,26.3004091174752,16,0.0,0,comercial
s29_g4co,G4,0.15,0.15,0.977554842413349,1,0,0.01057371,0.0,0.02165464,0.01187145,0.0,0.0,0.0,163,32.2033898305085,16,0.0,0,comercial
s30_g4co,G4,0.15,0.35,0.97623600889304,1,0,0.01110235,0.0,0.02332038,0.01266165,0.0,0.0,0.0,169,36.8205727644652,9,0.0,0,comercial
s31_g4co,G4,0.15,0.5,0.976472581146067,1,0,0.0107814,0.0,0.02165464,0.01274602,0.0,0.0,0.0,157,38.5154880187025,7,0.0,0,comercial
s32_g4co,G4,0.15,0.8,0.980530006220974,1,0,0.009114684,0.0,0.01721266,0.01035531,0.0,0.0,0.0,161,34.1905318527177,5,0.0,0,comercial
